id,csv_row,label,jev_prediction,jev_p_positive,jev_correct,qwen_prediction,qwen_raw,qwen_correct
imdb-06433,6433,negative,negative,0.0000,true,negative,negative,true
imdb-36268,36268,positive,positive,1.0000,true,positive,positive,true
imdb-10523,10523,positive,positive,1.0000,true,positive,positive,true
imdb-16180,16180,negative,negative,0.0000,true,negative,negative,true
imdb-32577,32577,positive,positive,1.0000,true,positive,positive,true
imdb-19943,19943,negative,negative,0.0200,true,negative,negative,true
imdb-41497,41497,positive,positive,1.0000,true,positive,positive,true
imdb-17977,17977,positive,negative,0.0200,false,negative,negative,false
imdb-06795,6795,negative,negative,0.0000,true,negative,negative,true
imdb-23334,23334,negative,negative,0.0200,true,negative,negative,true
imdb-44571,44571,positive,positive,1.0000,true,positive,positive,true
imdb-46651,46651,positive,positive,1.0000,true,positive,positive,true
imdb-15092,15092,positive,positive,1.0000,true,positive,positive,true
imdb-09541,9541,negative,positive,0.7000,false,negative,negative,true
imdb-04619,4619,positive,positive,1.0000,true,positive,positive,true
imdb-25940,25940,positive,positive,1.0000,true,positive,positive,true
imdb-29103,29103,negative,negative,0.0000,true,negative,negative,true
imdb-11202,11202,positive,positive,1.0000,true,positive,positive,true
imdb-27907,27907,positive,positive,1.0000,true,positive,positive,true
imdb-38178,38178,positive,positive,1.0000,true,positive,positive,true
imdb-18902,18902,negative,negative,0.0000,true,negative,negative,true
imdb-41113,41113,negative,negative,0.0000,true,negative,negative,true
imdb-42985,42985,positive,positive,0.9900,true,positive,positive,true
imdb-46070,46070,positive,positive,0.9800,true,positive,positive,true
imdb-44747,44747,positive,positive,0.9900,true,positive,positive,true
imdb-17127,17127,negative,negative,0.0000,true,negative,negative,true
imdb-48775,48775,negative,negative,0.0000,true,negative,negative,true
imdb-05918,5918,negative,negative,0.0000,true,negative,negative,true
imdb-48354,48354,negative,negative,0.0000,true,negative,negative,true
imdb-00638,638,negative,negative,0.0000,true,negative,negative,true
imdb-05341,5341,positive,positive,1.0000,true,positive,positive,true
imdb-17447,17447,negative,negative,0.0000,true,negative,negative,true
imdb-19987,19987,positive,positive,1.0000,true,positive,positive,true
imdb-41493,41493,negative,negative,0.0000,true,negative,negative,true
imdb-20074,20074,negative,negative,0.0000,true,negative,negative,true
imdb-26189,26189,negative,negative,0.0000,true,negative,negative,true
imdb-38448,38448,negative,negative,0.0000,true,negative,negative,true
imdb-46479,46479,positive,positive,1.0000,true,positive,positive,true
imdb-09209,9209,positive,positive,1.0000,true,positive,positive,true
imdb-47179,47179,positive,positive,1.0000,true,positive,positive,true
imdb-19957,19957,positive,positive,1.0000,true,positive,positive,true
imdb-28556,28556,negative,negative,0.0000,true,negative,negative,true
imdb-46941,46941,negative,negative,0.0000,true,negative,negative,true
imdb-18046,18046,positive,positive,1.0000,true,positive,positive,true
imdb-12144,12144,positive,positive,1.0000,true,positive,positive,true
imdb-42766,42766,positive,positive,1.0000,true,positive,positive,true
imdb-21459,21459,positive,positive,1.0000,true,positive,positive,true
imdb-08589,8589,positive,positive,1.0000,true,positive,positive,true
imdb-08610,8610,negative,negative,0.0000,true,negative,negative,true
imdb-15746,15746,negative,positive,0.9700,false,positive,positive,false
imdb-48075,48075,positive,positive,1.0000,true,positive,positive,true
imdb-39897,39897,positive,positive,1.0000,true,positive,positive,true
imdb-42692,42692,positive,positive,1.0000,true,positive,positive,true
imdb-16319,16319,positive,positive,0.9900,true,positive,positive,true
imdb-13398,13398,positive,positive,1.0000,true,positive,positive,true
imdb-03023,3023,negative,negative,0.0000,true,negative,negative,true
imdb-42463,42463,negative,negative,0.0000,true,negative,negative,true
imdb-33356,33356,positive,positive,1.0000,true,positive,positive,true
imdb-40238,40238,negative,negative,0.0000,true,negative,negative,true
imdb-17514,17514,negative,negative,0.0000,true,negative,negative,true
imdb-06954,6954,positive,positive,1.0000,true,positive,positive,true
imdb-46036,46036,negative,negative,0.0000,true,negative,negative,true
imdb-42866,42866,positive,positive,0.9700,true,positive,positive,true
imdb-09069,9069,negative,negative,0.0000,true,negative,negative,true
imdb-39664,39664,positive,positive,1.0000,true,positive,positive,true
imdb-12123,12123,negative,negative,0.0000,true,negative,negative,true
imdb-48896,48896,positive,positive,1.0000,true,positive,positive,true
imdb-23600,23600,negative,negative,0.0000,true,negative,negative,true
imdb-29888,29888,negative,negative,0.0000,true,negative,negative,true
imdb-14338,14338,positive,positive,1.0000,true,positive,positive,true
imdb-26696,26696,positive,positive,1.0000,true,positive,positive,true
imdb-22972,22972,positive,positive,1.0000,true,positive,positive,true
imdb-19180,19180,negative,negative,0.0000,true,negative,negative,true
imdb-37644,37644,positive,positive,1.0000,true,positive,positive,true
imdb-22796,22796,positive,positive,1.0000,true,positive,positive,true
imdb-43986,43986,positive,positive,1.0000,true,positive,positive,true
imdb-30089,30089,positive,positive,0.9700,true,positive,positive,true
imdb-44145,44145,positive,positive,0.9300,true,positive,positive,true
imdb-08745,8745,positive,positive,1.0000,true,positive,positive,true
imdb-29496,29496,positive,positive,1.0000,true,positive,positive,true
imdb-04126,4126,negative,negative,0.0000,true,negative,negative,true
imdb-49218,49218,positive,negative,0.1800,false,negative,negative,false
imdb-46811,46811,positive,positive,1.0000,true,positive,positive,true
imdb-20533,20533,positive,positive,1.0000,true,positive,positive,true
imdb-04084,4084,negative,negative,0.0000,true,negative,negative,true
imdb-40115,40115,positive,positive,1.0000,true,positive,positive,true
imdb-00084,84,negative,negative,0.0000,true,negative,negative,true
imdb-28668,28668,positive,positive,1.0000,true,positive,positive,true
imdb-23537,23537,positive,positive,1.0000,true,positive,positive,true
imdb-15848,15848,negative,negative,0.0000,true,negative,negative,true
imdb-00459,459,negative,negative,0.0000,true,negative,negative,true
imdb-15819,15819,positive,positive,1.0000,true,positive,positive,true
imdb-20041,20041,negative,negative,0.0000,true,negative,negative,true
imdb-13512,13512,positive,positive,1.0000,true,positive,positive,true
imdb-06401,6401,negative,negative,0.0200,true,negative,negative,true
imdb-10754,10754,negative,negative,0.0000,true,negative,negative,true
imdb-13637,13637,negative,negative,0.0000,true,negative,negative,true
imdb-28120,28120,positive,positive,0.9800,true,positive,positive,true
imdb-41400,41400,negative,negative,0.0000,true,negative,negative,true
imdb-24020,24020,positive,positive,0.8400,true,positive,positive,true
imdb-40501,40501,negative,positive,0.6100,false,negative,negative,true
imdb-17670,17670,negative,negative,0.0000,true,negative,negative,true
imdb-20875,20875,positive,positive,1.0000,true,positive,positive,true
imdb-48019,48019,positive,positive,1.0000,true,positive,positive,true
imdb-16275,16275,positive,positive,1.0000,true,positive,positive,true
imdb-47304,47304,negative,negative,0.0000,true,negative,negative,true
imdb-05608,5608,negative,positive,0.8700,false,negative,negative,true
imdb-09720,9720,negative,negative,0.0000,true,negative,negative,true
imdb-38131,38131,negative,negative,0.2800,true,positive,positive,false
imdb-16536,16536,positive,positive,1.0000,true,positive,positive,true
imdb-49899,49899,positive,positive,1.0000,true,positive,positive,true
imdb-20580,20580,negative,negative,0.0000,true,negative,negative,true
imdb-47401,47401,negative,negative,0.0000,true,negative,negative,true
imdb-03988,3988,positive,positive,1.0000,true,positive,positive,true
imdb-40122,40122,negative,negative,0.0000,true,negative,negative,true
imdb-27690,27690,positive,positive,0.9500,true,positive,positive,true
imdb-12305,12305,positive,positive,1.0000,true,positive,positive,true
imdb-14216,14216,negative,negative,0.0000,true,negative,negative,true
imdb-05015,5015,positive,positive,1.0000,true,positive,positive,true
imdb-12925,12925,negative,negative,0.0100,true,positive,positive,false
imdb-35030,35030,positive,positive,1.0000,true,positive,positive,true
imdb-28731,28731,negative,negative,0.0500,true,negative,negative,true
imdb-08621,8621,positive,positive,1.0000,true,positive,positive,true
imdb-10586,10586,positive,positive,1.0000,true,positive,positive,true
imdb-03551,3551,positive,negative,0.0100,false,positive,positive,true
imdb-15960,15960,positive,positive,1.0000,true,positive,positive,true
imdb-25465,25465,negative,negative,0.0000,true,negative,negative,true
imdb-33335,33335,positive,positive,0.9800,true,positive,positive,true
imdb-36935,36935,negative,negative,0.0100,true,negative,negative,true
imdb-14725,14725,positive,positive,0.9300,true,positive,positive,true
imdb-47105,47105,positive,positive,1.0000,true,positive,positive,true
imdb-15641,15641,positive,positive,1.0000,true,positive,positive,true
imdb-32347,32347,negative,negative,0.0000,true,negative,negative,true
imdb-43703,43703,positive,positive,1.0000,true,positive,positive,true
imdb-44384,44384,positive,positive,1.0000,true,positive,positive,true
imdb-37048,37048,positive,positive,1.0000,true,positive,positive,true
imdb-33707,33707,negative,negative,0.0000,true,negative,negative,true
imdb-08336,8336,negative,negative,0.0000,true,negative,negative,true
imdb-26789,26789,negative,negative,0.0000,true,negative,negative,true
imdb-20752,20752,negative,negative,0.0000,true,negative,negative,true
imdb-17481,17481,positive,positive,1.0000,true,positive,positive,true
imdb-47567,47567,positive,positive,1.0000,true,positive,positive,true
imdb-17873,17873,negative,negative,0.0000,true,negative,negative,true
imdb-19791,19791,positive,positive,0.9900,true,positive,positive,true
imdb-31689,31689,positive,positive,1.0000,true,positive,positive,true
imdb-15677,15677,negative,negative,0.0000,true,negative,negative,true
imdb-06427,6427,negative,negative,0.0000,true,negative,negative,true
imdb-24457,24457,negative,negative,0.0000,true,negative,negative,true
imdb-36325,36325,negative,negative,0.0000,true,negative,negative,true
imdb-47824,47824,negative,negative,0.0000,true,negative,negative,true
imdb-15071,15071,negative,positive,0.9000,false,positive,positive,false
imdb-43069,43069,positive,positive,1.0000,true,positive,positive,true
imdb-03397,3397,positive,positive,1.0000,true,positive,positive,true
imdb-35494,35494,negative,negative,0.0000,true,negative,negative,true
imdb-08035,8035,negative,negative,0.0000,true,negative,negative,true
imdb-40891,40891,positive,positive,1.0000,true,positive,positive,true
imdb-23065,23065,negative,negative,0.0000,true,negative,negative,true
imdb-18919,18919,positive,positive,1.0000,true,positive,positive,true
imdb-37570,37570,positive,positive,1.0000,true,positive,positive,true
imdb-11788,11788,positive,positive,1.0000,true,positive,positive,true
imdb-13137,13137,negative,negative,0.0000,true,negative,negative,true
imdb-20955,20955,negative,negative,0.0000,true,negative,negative,true
imdb-17971,17971,negative,negative,0.0000,true,negative,negative,true
imdb-29587,29587,positive,positive,1.0000,true,positive,positive,true
imdb-00500,500,positive,positive,1.0000,true,positive,positive,true
imdb-26453,26453,positive,positive,1.0000,true,positive,positive,true
imdb-23406,23406,negative,positive,1.0000,false,positive,positive,false
imdb-36742,36742,negative,negative,0.0000,true,negative,negative,true
imdb-01837,1837,negative,negative,0.0000,true,negative,negative,true
imdb-37258,37258,negative,negative,0.0000,true,negative,negative,true
imdb-38868,38868,negative,negative,0.0000,true,negative,negative,true
imdb-06912,6912,negative,negative,0.0000,true,negative,negative,true
imdb-07183,7183,negative,negative,0.0000,true,negative,negative,true
imdb-38414,38414,negative,negative,0.0000,true,negative,negative,true
imdb-00106,106,positive,positive,1.0000,true,positive,positive,true
imdb-11252,11252,negative,negative,0.0000,true,negative,negative,true
imdb-23242,23242,positive,positive,0.9600,true,positive,positive,true
imdb-10016,10016,positive,positive,1.0000,true,positive,positive,true
imdb-39914,39914,positive,positive,1.0000,true,positive,positive,true
imdb-38451,38451,negative,negative,0.0000,true,negative,negative,true
imdb-14433,14433,positive,positive,1.0000,true,positive,positive,true
imdb-24120,24120,negative,negative,0.0000,true,negative,negative,true
imdb-20129,20129,positive,positive,1.0000,true,positive,positive,true
imdb-46554,46554,negative,negative,0.0000,true,negative,negative,true
imdb-40443,40443,negative,negative,0.0000,true,negative,negative,true
imdb-37750,37750,negative,negative,0.0000,true,negative,negative,true
imdb-07313,7313,positive,positive,1.0000,true,positive,positive,true
imdb-32784,32784,positive,positive,0.8200,true,positive,positive,true
imdb-12493,12493,negative,negative,0.0000,true,negative,negative,true
imdb-45562,45562,negative,negative,0.0000,true,negative,negative,true
imdb-36451,36451,positive,positive,1.0000,true,positive,positive,true
imdb-44737,44737,positive,positive,1.0000,true,positive,positive,true
imdb-46808,46808,positive,positive,1.0000,true,positive,positive,true
imdb-24072,24072,negative,negative,0.0000,true,negative,negative,true
imdb-39819,39819,negative,negative,0.0000,true,negative,negative,true
imdb-48901,48901,negative,negative,0.0000,true,negative,negative,true
imdb-06436,6436,negative,negative,0.0000,true,negative,negative,true
imdb-05138,5138,negative,negative,0.0000,true,negative,negative,true
imdb-00648,648,positive,positive,1.0000,true,positive,positive,true
imdb-32918,32918,negative,negative,0.0000,true,negative,negative,true
imdb-02105,2105,negative,negative,0.0000,true,negative,negative,true
imdb-02349,2349,positive,positive,0.9900,true,positive,positive,true
imdb-18739,18739,positive,positive,1.0000,true,positive,positive,true
imdb-22923,22923,negative,negative,0.0000,true,negative,negative,true
imdb-18541,18541,negative,negative,0.0000,true,negative,negative,true
imdb-26773,26773,negative,negative,0.0000,true,negative,negative,true
imdb-24492,24492,positive,positive,1.0000,true,positive,positive,true
imdb-24719,24719,negative,negative,0.0000,true,negative,negative,true
imdb-22221,22221,positive,positive,1.0000,true,positive,positive,true
imdb-04563,4563,negative,negative,0.0000,true,negative,negative,true
imdb-03195,3195,positive,positive,1.0000,true,positive,positive,true
imdb-30658,30658,negative,negative,0.0000,true,negative,negative,true
imdb-38602,38602,positive,positive,1.0000,true,positive,positive,true
imdb-01566,1566,negative,negative,0.0000,true,negative,negative,true
imdb-33751,33751,negative,negative,0.0000,true,negative,negative,true
imdb-34678,34678,positive,positive,1.0000,true,positive,positive,true
imdb-48222,48222,positive,positive,1.0000,true,positive,positive,true
imdb-49643,49643,negative,negative,0.0600,true,negative,negative,true
imdb-41959,41959,positive,positive,1.0000,true,positive,positive,true
imdb-10818,10818,positive,positive,1.0000,true,positive,positive,true
imdb-38074,38074,negative,negative,0.0000,true,negative,negative,true
imdb-48688,48688,positive,positive,1.0000,true,positive,positive,true
imdb-07654,7654,negative,negative,0.0000,true,negative,negative,true
imdb-35607,35607,negative,negative,0.1500,true,positive,positive,false
imdb-25830,25830,positive,positive,1.0000,true,positive,positive,true
imdb-36364,36364,positive,positive,1.0000,true,positive,positive,true
imdb-19441,19441,positive,positive,1.0000,true,positive,positive,true
imdb-35218,35218,negative,negative,0.0000,true,negative,negative,true
imdb-16158,16158,negative,negative,0.0000,true,negative,negative,true
imdb-10736,10736,negative,negative,0.0000,true,negative,negative,true
imdb-09619,9619,negative,negative,0.0000,true,negative,negative,true
imdb-07450,7450,positive,positive,1.0000,true,positive,positive,true
imdb-41550,41550,positive,positive,1.0000,true,positive,positive,true
imdb-15315,15315,positive,positive,0.8300,true,positive,positive,true
imdb-15853,15853,negative,negative,0.0000,true,negative,negative,true
imdb-25304,25304,negative,negative,0.0000,true,negative,negative,true
imdb-04895,4895,negative,negative,0.0000,true,negative,negative,true
imdb-09434,9434,negative,negative,0.0000,true,negative,negative,true
imdb-15271,15271,negative,negative,0.0000,true,negative,negative,true
imdb-14209,14209,positive,positive,1.0000,true,positive,positive,true
imdb-44950,44950,positive,positive,0.6800,true,positive,positive,true
imdb-43481,43481,positive,positive,1.0000,true,positive,positive,true
imdb-21706,21706,negative,negative,0.0000,true,negative,negative,true
imdb-36719,36719,positive,positive,1.0000,true,positive,positive,true
imdb-20632,20632,positive,positive,0.9700,true,positive,positive,true
imdb-33780,33780,positive,positive,1.0000,true,positive,positive,true
imdb-15950,15950,positive,positive,1.0000,true,positive,positive,true
imdb-26166,26166,positive,positive,1.0000,true,positive,positive,true
imdb-44378,44378,negative,negative,0.0000,true,negative,negative,true
imdb-02393,2393,positive,positive,0.9900,true,positive,positive,true
imdb-21178,21178,negative,negative,0.0000,true,negative,negative,true
imdb-31867,31867,positive,positive,1.0000,true,positive,positive,true
imdb-04349,4349,positive,positive,1.0000,true,positive,positive,true
imdb-04587,4587,negative,negative,0.0000,true,negative,negative,true
imdb-25641,25641,negative,negative,0.0000,true,negative,negative,true
imdb-30564,30564,negative,negative,0.0000,true,negative,negative,true
imdb-05680,5680,negative,negative,0.0000,true,negative,negative,true
imdb-29214,29214,negative,negative,0.0000,true,negative,negative,true
imdb-22051,22051,positive,positive,1.0000,true,positive,positive,true
imdb-11138,11138,positive,positive,0.9800,true,positive,positive,true
imdb-03308,3308,negative,negative,0.0000,true,negative,negative,true
imdb-08436,8436,positive,positive,1.0000,true,positive,positive,true
imdb-11109,11109,positive,positive,1.0000,true,positive,positive,true
imdb-09858,9858,positive,positive,1.0000,true,positive,positive,true
imdb-03830,3830,negative,negative,0.0000,true,negative,negative,true
imdb-36057,36057,positive,positive,1.0000,true,positive,positive,true
imdb-49051,49051,negative,negative,0.0000,true,negative,negative,true
imdb-20269,20269,positive,positive,1.0000,true,positive,positive,true
imdb-09200,9200,positive,positive,1.0000,true,positive,positive,true
imdb-23696,23696,negative,positive,0.5200,false,negative,negative,true
imdb-26062,26062,positive,positive,1.0000,true,positive,positive,true
imdb-11410,11410,negative,negative,0.0000,true,negative,negative,true
imdb-09142,9142,positive,positive,1.0000,true,positive,positive,true
imdb-48803,48803,positive,positive,1.0000,true,positive,positive,true
imdb-11825,11825,negative,negative,0.0000,true,negative,negative,true
imdb-29386,29386,negative,negative,0.0000,true,negative,negative,true
imdb-22474,22474,positive,positive,0.9000,true,positive,positive,true
imdb-07254,7254,positive,positive,1.0000,true,positive,positive,true
imdb-25627,25627,negative,negative,0.0000,true,negative,negative,true
imdb-45136,45136,positive,positive,1.0000,true,positive,positive,true
imdb-23582,23582,negative,negative,0.0000,true,negative,negative,true
imdb-06676,6676,positive,positive,1.0000,true,positive,positive,true
imdb-35904,35904,negative,negative,0.0000,true,negative,negative,true
imdb-30674,30674,positive,positive,1.0000,true,positive,positive,true
imdb-11865,11865,negative,negative,0.0000,true,negative,negative,true
imdb-13301,13301,negative,negative,0.0000,true,negative,negative,true
imdb-48089,48089,negative,negative,0.0000,true,negative,negative,true
imdb-43118,43118,positive,positive,1.0000,true,positive,positive,true
imdb-39929,39929,positive,positive,1.0000,true,positive,positive,true
imdb-24062,24062,negative,negative,0.0000,true,negative,negative,true
imdb-20704,20704,negative,negative,0.0000,true,negative,negative,true
imdb-00205,205,negative,negative,0.0000,true,negative,negative,true
imdb-43784,43784,negative,negative,0.0000,true,negative,negative,true
imdb-46968,46968,negative,negative,0.0000,true,negative,negative,true
imdb-16093,16093,negative,negative,0.0000,true,negative,negative,true
imdb-20834,20834,negative,negative,0.0000,true,negative,negative,true
imdb-45594,45594,negative,negative,0.0000,true,negative,negative,true
imdb-14062,14062,negative,negative,0.0000,true,negative,negative,true
imdb-06870,6870,negative,negative,0.0000,true,negative,negative,true
imdb-27491,27491,negative,negative,0.0000,true,negative,negative,true
imdb-36845,36845,positive,positive,1.0000,true,positive,positive,true
imdb-04387,4387,negative,negative,0.0000,true,negative,negative,true
imdb-25756,25756,positive,positive,1.0000,true,positive,positive,true
imdb-15555,15555,positive,positive,1.0000,true,positive,positive,true
imdb-37234,37234,positive,positive,1.0000,true,positive,positive,true
imdb-16943,16943,negative,negative,0.0000,true,negative,negative,true
imdb-25612,25612,negative,negative,0.0000,true,negative,negative,true
imdb-34709,34709,negative,negative,0.0000,true,negative,negative,true
imdb-47326,47326,positive,positive,1.0000,true,positive,positive,true
imdb-36679,36679,negative,negative,0.1100,true,positive,positive,false
imdb-02177,2177,positive,positive,1.0000,true,positive,positive,true
imdb-44691,44691,negative,negative,0.0300,true,negative,negative,true
imdb-20469,20469,positive,positive,1.0000,true,positive,positive,true
imdb-33130,33130,negative,negative,0.0000,true,negative,negative,true
imdb-08773,8773,negative,negative,0.0100,true,negative,negative,true
imdb-21189,21189,negative,negative,0.0000,true,negative,negative,true
imdb-16700,16700,positive,positive,0.9600,true,positive,positive,true
imdb-22946,22946,negative,negative,0.0000,true,negative,negative,true
imdb-39106,39106,positive,negative,0.0000,false,negative,negative,false
imdb-02430,2430,negative,negative,0.0000,true,negative,negative,true
imdb-41833,41833,negative,negative,0.1400,true,negative,negative,true
imdb-44751,44751,negative,negative,0.0000,true,negative,negative,true
imdb-24738,24738,positive,positive,1.0000,true,positive,positive,true
imdb-40524,40524,negative,negative,0.0000,true,negative,negative,true
imdb-16059,16059,negative,negative,0.0000,true,negative,negative,true
imdb-44809,44809,positive,positive,0.8500,true,positive,positive,true
imdb-26157,26157,positive,positive,1.0000,true,positive,positive,true
imdb-00157,157,negative,negative,0.0000,true,negative,negative,true
imdb-43951,43951,negative,negative,0.0000,true,negative,negative,true
imdb-16891,16891,negative,negative,0.0000,true,negative,negative,true
imdb-20943,20943,positive,positive,1.0000,true,positive,positive,true
imdb-13777,13777,negative,negative,0.0000,true,negative,negative,true
imdb-46314,46314,negative,negative,0.0000,true,negative,negative,true
imdb-37435,37435,positive,positive,1.0000,true,positive,positive,true
imdb-06693,6693,positive,positive,0.9900,true,positive,positive,true
imdb-31164,31164,positive,positive,1.0000,true,positive,positive,true
imdb-12171,12171,positive,negative,0.0100,false,negative,negative,false
imdb-31795,31795,negative,negative,0.0100,true,negative,negative,true
imdb-12276,12276,positive,positive,1.0000,true,positive,positive,true
imdb-41580,41580,positive,positive,1.0000,true,positive,positive,true
imdb-33567,33567,negative,negative,0.0000,true,negative,negative,true
imdb-44594,44594,negative,negative,0.0000,true,negative,negative,true
imdb-28160,28160,negative,negative,0.0000,true,negative,negative,true
imdb-05653,5653,positive,positive,1.0000,true,positive,positive,true
imdb-20396,20396,negative,negative,0.0000,true,negative,negative,true
imdb-44514,44514,positive,positive,1.0000,true,positive,positive,true
imdb-00470,470,positive,positive,1.0000,true,positive,positive,true
imdb-42372,42372,positive,positive,1.0000,true,positive,positive,true
imdb-31492,31492,negative,negative,0.0100,true,negative,negative,true
imdb-12675,12675,negative,negative,0.0000,true,negative,negative,true
imdb-00299,299,positive,positive,1.0000,true,positive,positive,true
imdb-14037,14037,positive,positive,1.0000,true,positive,positive,true
imdb-30705,30705,positive,positive,1.0000,true,positive,positive,true
imdb-20466,20466,negative,negative,0.0000,true,negative,negative,true
imdb-40831,40831,negative,negative,0.0000,true,negative,negative,true
imdb-17611,17611,positive,positive,1.0000,true,positive,positive,true
imdb-22011,22011,negative,negative,0.0000,true,negative,negative,true
imdb-36126,36126,positive,positive,1.0000,true,positive,positive,true
imdb-43289,43289,negative,negative,0.0000,true,negative,negative,true
imdb-23785,23785,positive,positive,1.0000,true,positive,positive,true
imdb-29003,29003,positive,positive,1.0000,true,positive,positive,true
imdb-14492,14492,negative,negative,0.0000,true,negative,negative,true
imdb-25158,25158,negative,negative,0.0000,true,negative,negative,true
imdb-13272,13272,negative,negative,0.0000,true,negative,negative,true
imdb-14540,14540,positive,positive,1.0000,true,positive,positive,true
imdb-08183,8183,negative,negative,0.0000,true,negative,negative,true
imdb-10334,10334,negative,negative,0.0000,true,negative,negative,true
imdb-22357,22357,negative,negative,0.0000,true,negative,negative,true
imdb-40663,40663,negative,negative,0.0000,true,negative,negative,true
imdb-13457,13457,positive,positive,1.0000,true,positive,positive,true
imdb-36412,36412,negative,positive,0.7300,false,positive,positive,false
imdb-43155,43155,positive,positive,1.0000,true,positive,positive,true
imdb-06160,6160,negative,negative,0.0000,true,negative,negative,true
imdb-02278,2278,negative,negative,0.0000,true,negative,negative,true
imdb-04925,4925,positive,positive,1.0000,true,positive,positive,true
imdb-25677,25677,negative,negative,0.0000,true,negative,negative,true
imdb-46847,46847,negative,negative,0.0000,true,negative,negative,true
imdb-21620,21620,negative,negative,0.0100,true,negative,negative,true
imdb-26479,26479,negative,negative,0.0000,true,negative,negative,true
imdb-00664,664,positive,positive,1.0000,true,positive,positive,true
imdb-29547,29547,positive,negative,0.0500,false,negative,negative,false
imdb-18790,18790,positive,positive,1.0000,true,positive,positive,true
imdb-24359,24359,positive,positive,1.0000,true,positive,positive,true
imdb-16984,16984,negative,negative,0.0000,true,negative,negative,true
imdb-10622,10622,positive,positive,1.0000,true,positive,positive,true
imdb-02654,2654,negative,negative,0.0000,true,negative,negative,true
imdb-21127,21127,positive,positive,1.0000,true,positive,positive,true
imdb-17682,17682,negative,negative,0.0000,true,negative,negative,true
imdb-31892,31892,negative,negative,0.0000,true,negative,negative,true
imdb-13181,13181,negative,negative,0.0000,true,negative,negative,true
imdb-11166,11166,negative,negative,0.0000,true,negative,negative,true
imdb-31420,31420,negative,negative,0.0000,true,negative,negative,true
imdb-47400,47400,negative,negative,0.0000,true,negative,negative,true
imdb-36025,36025,negative,negative,0.0000,true,negative,negative,true
imdb-12421,12421,negative,negative,0.0000,true,negative,negative,true
imdb-18146,18146,positive,positive,0.9800,true,positive,positive,true
imdb-23151,23151,negative,negative,0.0000,true,negative,negative,true
imdb-15039,15039,negative,negative,0.0000,true,negative,negative,true
imdb-45884,45884,negative,negative,0.0000,true,negative,negative,true
imdb-03085,3085,negative,negative,0.0000,true,negative,negative,true
imdb-46988,46988,positive,positive,0.9700,true,positive,positive,true
imdb-13866,13866,positive,positive,1.0000,true,positive,positive,true
imdb-35236,35236,negative,negative,0.0000,true,negative,negative,true
imdb-25545,25545,positive,positive,1.0000,true,positive,positive,true
imdb-31344,31344,negative,negative,0.0000,true,negative,negative,true
imdb-19770,19770,positive,positive,1.0000,true,positive,positive,true
imdb-03435,3435,negative,negative,0.0000,true,negative,negative,true
imdb-26395,26395,positive,positive,1.0000,true,positive,positive,true
imdb-26425,26425,negative,negative,0.3900,true,positive,positive,false
imdb-27185,27185,positive,positive,1.0000,true,positive,positive,true
imdb-08102,8102,negative,negative,0.0000,true,negative,negative,true
imdb-13775,13775,negative,negative,0.0000,true,negative,negative,true
